timestamp,high,open,low,volume,close,vwap,returns
2019-01-01 00:00:00+00:00,3870.0,3693.0,3630.5,902868031.0,3824.0,3716.0907000000007,0.03547251556999731
2019-01-02 00:00:00+00:00,3918.0,3824.0,3762.0,1074586398.0,3888.0,3831.8581,0.01673640167364021
2019-01-03 00:00:00+00:00,3891.0,3888.0,3748.0,880837736.0,3784.0,3822.4839,-0.026748971193415683
2019-01-04 00:00:00+00:00,3850.0,3784.0,3721.5,907202598.0,3817.0,3784.5816,0.008720930232558155
2019-01-05 00:00:00+00:00,3879.0,3817.0,3767.0,742213108.0,3794.5,3829.2169,-0.005894681687188874
2019-01-06 00:00:00+00:00,4082.0,3794.5,3750.0,1072137901.0,4039.0,3924.8008,0.06443536697852159
2019-01-07 00:00:00+00:00,4074.0,4039.0,3970.0,950704483.0,4005.0,4018.0006,-0.008417925229017076
2019-01-08 00:00:00+00:00,4130.0,4005.0,3937.0,1297065278.0,3995.5,4015.5805,-0.0023720349563046694
2019-01-09 00:00:00+00:00,4045.0,3995.5,3959.5,900335908.0,4001.0,4007.6948,0.0013765486171943841
2019-01-10 00:00:00+00:00,4036.0,4001.0,3512.0,1648035760.0,3622.0,3756.574,-0.09472631842039492
2019-01-11 00:00:00+00:00,3698.0,3622.0,3561.5,1011606061.0,3631.5,3632.401,0.0026228602981777094
2019-01-12 00:00:00+00:00,3652.0,3631.5,3550.0,545041398.0,3613.0,3620.6959,-0.005094313644499526
2019-01-13 00:00:00+00:00,3638.0,3613.0,3479.0,800495107.0,3513.0,3553.4077,-0.02767783005812341
2019-01-14 00:00:00+00:00,3718.0,3513.0,3506.5,938603871.0,3663.0,3603.3439,0.04269854824935959
2019-01-15 00:00:00+00:00,3684.0,3663.0,3535.0,822695898.0,3574.5,3626.6048,-0.024160524160524166
2019-01-16 00:00:00+00:00,3664.0,3574.5,3568.0,860220650.0,3607.5,3605.6826,0.009232060428031819
2019-01-17 00:00:00+00:00,3660.0,3607.5,3540.0,943447538.0,3637.0,3603.4737,0.008177408177408196
2019-01-18 00:00:00+00:00,3639.5,3637.0,3571.5,656428321.0,3606.0,3610.6297000000004,-0.008523508386032441
2019-01-19 00:00:00+00:00,3784.5,3606.0,3605.0,745711298.0,3681.5,3694.3993,0.02093732667775927
2019-01-20 00:00:00+00:00,3700.0,3681.5,3450.0,1016540362.0,3535.0,3570.281,-0.03979356240662768
2019-01-21 00:00:00+00:00,3575.0,3535.0,3474.5,763124348.0,3529.5,3531.8217,-0.0015558698727015097
2019-01-22 00:00:00+00:00,3608.5,3529.5,3405.0,1148206703.0,3578.0,3541.4527,0.013741323133588335
